#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      240.6   102.6    86.8   143.2   156.4   226.8   261.0   281.2   296.0   314.4   338.1   373.7   463.3   805.4  4161.5  30337.0    30255  1775296974017  1775296984118
read      231.0    93.1    86.8   137.1   149.6   217.8   251.9   271.7   286.5   303.8   326.2   362.6   441.1   646.8  3862.4  30162.8    30260  1775296985630  1775296995731
read      241.1   114.3    86.8   139.6   153.3   227.6   263.3   283.8   298.5   316.8   340.2   375.6   461.8   892.1  4341.3  30302.0    30265  1775296997243  1775297007343
read      238.2   106.0    86.8   141.6   154.8   224.5   258.8   278.9   293.8   311.9   335.1   370.8   455.0   766.7  4014.0  30293.8    30270  1775297008856  1775297018956
read      240.5   103.9    86.8   139.2   152.8   226.6   262.6   283.6   298.7   317.2   341.3   379.1   472.4   775.4  4215.0  30278.1    30275  1775297020468  1775297030569
read      232.0    97.1    86.8   139.0   151.3   217.2   251.1   271.6   287.1   305.3   328.7   365.3   447.8   754.4  3912.3  30226.2    30280  1775297032082  1775297042184
read      239.3   110.7    86.8   138.7   151.8   224.8   260.7   281.6   296.7   315.7   340.0   378.3   466.9  1036.6  4158.3  30209.6    30285  1775297043698  1775297053799
read      230.4   116.4    86.8   133.6   146.6   216.0   249.9   270.2   285.4   303.3   326.3   364.0   449.7   878.4  4859.6  30255.7    30290  1775297055312  1775297065413
read      234.2   106.1    86.8   139.4   152.0   221.4   254.9   274.5   289.4   306.8   328.9   364.2   442.4   710.0  4065.5  30261.6    30295  1775297066925  1775297077025
read      234.8   100.7    86.8   136.1   149.8   221.8   256.6   276.8   292.0   309.8   332.7   368.1   448.8   741.6  4117.8  30307.7    30300  1775297078539  1775297088639
